"","Subject","Simulation","Artefact","PSNR"
"392","644",1,"Nonlinearities",30.8257777574827
"393","644",1,"NoiseAndNonlinearities",25.6349057409661
"394","644",2,"Noise",28.6089292720468
"395","644",2,"Nonlinearities",37.0530813191812
"396","644",2,"NoiseAndNonlinearities",17.1178180936864
"397","644",3,"Noise",18.8560401379986
"398","644",3,"Nonlinearities",31.1411532905982
"399","644",3,"NoiseAndNonlinearities",16.5550302975558
"400","644",4,"Noise",22.0750459695735
"401","644",4,"Nonlinearities",36.898642980577
"402","644",4,"NoiseAndNonlinearities",26.5166262273902
"403","644",5,"Noise",20.9141908360991
"404","644",5,"Nonlinearities",31.8957781923468
"405","644",5,"NoiseAndNonlinearities",16.3433487585546
"406","644",6,"Noise",18.7584153971693
"407","644",6,"Nonlinearities",29.0942397893846
"408","644",6,"NoiseAndNonlinearities",17.3858719418482
"409","644",7,"Noise",18.033398789893
"410","644",7,"Nonlinearities",35.9569786502102
"411","644",7,"NoiseAndNonlinearities",17.07460977263
"412","644",8,"Noise",40.8159089009709
"413","644",8,"Nonlinearities",31.8780025824033
"414","644",8,"NoiseAndNonlinearities",24.3718333746194
"415","644",9,"Noise",28.8781843537305
"416","644",9,"Nonlinearities",30.8839255765958
"417","644",9,"NoiseAndNonlinearities",16.4640398340663
"418","644",10,"Noise",19.3055249648056
"419","644",10,"Nonlinearities",34.1788267982005
"420","644",10,"NoiseAndNonlinearities",20.6481820349417
"421","Subject001",1,"Noise",24.9648036810489
"422","Subject001",1,"Nonlinearities",30.3334406298621
"423","Subject001",1,"NoiseAndNonlinearities",20.2614814575224
"424","Subject001",2,"Noise",20.5699833084572
"425","Subject001",2,"Nonlinearities",28.194588047109
"426","Subject001",2,"NoiseAndNonlinearities",21.0232202933102
"427","Subject001",3,"Noise",20.5357417434263
"428","Subject001",3,"Nonlinearities",33.3712735698969
"429","Subject001",3,"NoiseAndNonlinearities",20.7365619345504
"430","Subject001",4,"Noise",15.5990248539232
"431","Subject001",4,"Nonlinearities",36.3529739225652
"432","Subject001",4,"NoiseAndNonlinearities",19.9994857464545
"433","Subject001",5,"Noise",24.4603182122085
"434","Subject001",5,"Nonlinearities",28.6833305358809
"435","Subject001",5,"NoiseAndNonlinearities",22.9384440296082
"436","Subject001",6,"Noise",41.6854081431259
"437","Subject001",6,"Nonlinearities",23.6456760503833
"438","Subject001",6,"NoiseAndNonlinearities",17.7902104937304
"439","Subject001",7,"Noise",24.4910021843868
"440","Subject001",7,"Nonlinearities",27.2412022210677
"441","Subject001",7,"NoiseAndNonlinearities",20.7386802779258
"442","Subject001",8,"Noise",15.9911198925953
"443","Subject001",8,"Nonlinearities",34.261930514723
"444","Subject001",8,"NoiseAndNonlinearities",25.1595562265723
"445","Subject001",9,"Noise",16.8486446442233
"446","Subject001",9,"Nonlinearities",32.7027661725447
"447","Subject001",9,"NoiseAndNonlinearities",30.0472909161882
"448","Subject001",10,"Noise",19.1169416296372
"449","Subject001",10,"Nonlinearities",33.1534687871378
"450","Subject001",10,"NoiseAndNonlinearities",17.5945239400033
"451","Subject006_2",1,"Noise",14.6430105700893
"452","Subject006_2",1,"Nonlinearities",39.3887458710148
"453","Subject006_2",1,"NoiseAndNonlinearities",15.6909545805929
"454","Subject006_2",2,"Noise",24.7976509587488
"455","Subject006_2",2,"Nonlinearities",34.0188823022372
"456","Subject006_2",2,"NoiseAndNonlinearities",21.1093923989774
"457","Subject006_2",3,"Noise",16.930212282772
"458","Subject006_2",3,"Nonlinearities",31.4946933710141
"459","Subject006_2",3,"NoiseAndNonlinearities",13.8005942172095
"460","Subject006_2",4,"Noise",33.607284176368
"461","Subject006_2",4,"Nonlinearities",30.938711290891
"462","Subject006_2",4,"NoiseAndNonlinearities",16.7267073856319
"463","Subject006_2",5,"Noise",15.6985440368625
"464","Subject006_2",5,"Nonlinearities",41.6913951042736
"465","Subject006_2",5,"NoiseAndNonlinearities",26.2230383739177
"466","Subject006_2",6,"Noise",14.6658948455917
"467","Subject006_2",6,"Nonlinearities",33.8951009820217
"468","Subject006_2",6,"NoiseAndNonlinearities",31.3693911697329
"469","Subject006_2",7,"Noise",20.4067037452655
"470","Subject006_2",7,"Nonlinearities",34.6636382025802
"471","Subject006_2",7,"NoiseAndNonlinearities",28.1662143702049
"472","Subject006_2",8,"Noise",19.3179929906024
"473","Subject006_2",8,"Nonlinearities",37.7251326419024
"474","Subject006_2",8,"NoiseAndNonlinearities",39.0410279681878
"475","Subject006_2",9,"Noise",15.8747738386475
