Segmentation,Cluster,Sensitivity
Atropos,Cluster1,0.944314120262052
Atropos,Cluster2,0.559423222633502
Atropos,Cluster3,0.999999999997616
ElBicho,Cluster0,0.999992298926471
ElBicho,Cluster1,0.64105485141414
ElBicho,Cluster2,0.89586776406704
ElBicho,Cluster3,0.781772162087531
LinearBinning,Cluster0,0.999999999999942
LinearBinning,Cluster1,0.815010013856151
LinearBinning,Cluster2,0.766586240457036
LinearBinning,Cluster3,0.983244694853134
KMeans,Cluster0,0.999999999999942
KMeans,Cluster1,0.189206564198778
KMeans,Cluster2,0.107961289975981
KMeans,Cluster3,0.999999999999008
Atropos,Cluster0,0.999999999999942
Atropos,Cluster1,0.996283613335636
Atropos,Cluster2,0.656556396968691
Atropos,Cluster3,0.995660306238001
ElBicho,Cluster0,0.999999999999942
ElBicho,Cluster1,0.423233279430252
ElBicho,Cluster2,0.901347028049458
ElBicho,Cluster3,0.874414492080304
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.656998757685334
LinearBinning,Cluster2,0.684224313577724
LinearBinning,Cluster3,0.988985576348561
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.198208786772227
KMeans,Cluster2,0.161392334129097
KMeans,Cluster3,0.999999999998514
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.999999999963317
Atropos,Cluster2,0.490618899197351
Atropos,Cluster3,0.998075301390321
ElBicho,Cluster0,0.99999560650169
ElBicho,Cluster1,0.189400205499158
ElBicho,Cluster2,0.718276944928894
ElBicho,Cluster3,0.923109481460563
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.457419266936806
LinearBinning,Cluster2,0.640293460552444
LinearBinning,Cluster3,0.994083391329269
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.0977646242760423
KMeans,Cluster2,0.105037048092783
KMeans,Cluster3,0.999999999998455
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.999999999973986
Atropos,Cluster2,0.502298271330133
Atropos,Cluster3,0.991138050510269
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.149505963796986
ElBicho,Cluster2,0.839616637780658
ElBicho,Cluster3,0.884997228748631
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.664191397321903
LinearBinning,Cluster2,0.708791766491957
LinearBinning,Cluster3,0.993117613825171
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.191961771398732
KMeans,Cluster2,0.127299524363417
KMeans,Cluster3,0.999999999998677
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.999999999986879
Atropos,Cluster2,0.566859404023944
Atropos,Cluster3,0.992682064624413
ElBicho,Cluster0,0.999999999999935
ElBicho,Cluster1,0.295618914211324
ElBicho,Cluster2,0.836155920019772
ElBicho,Cluster3,0.890391913482081
LinearBinning,Cluster0,0.999999999999937
LinearBinning,Cluster1,0.938781240057224
LinearBinning,Cluster2,0.845538723009645
LinearBinning,Cluster3,0.907900500794717
KMeans,Cluster0,0.999999999999937
KMeans,Cluster1,0.21256153867716
KMeans,Cluster2,0.149675980175264
KMeans,Cluster3,0.999999999997801
Atropos,Cluster0,0.999999999999937
Atropos,Cluster1,0.956306402498527
Atropos,Cluster2,0.6094086087577
Atropos,Cluster3,0.999850127884378
ElBicho,Cluster0,0.999999999999937
ElBicho,Cluster1,0.386372661959705
ElBicho,Cluster2,0.870100240543673
ElBicho,Cluster3,0.878691764668701
LinearBinning,Cluster0,0.999999999999937
LinearBinning,Cluster1,0.456251395906405
LinearBinning,Cluster2,0.93874645092786
LinearBinning,Cluster3,0.974775034354005
KMeans,Cluster0,0.999999999999937
KMeans,Cluster1,0.0148555647299642
KMeans,Cluster2,0.0443056488784138
KMeans,Cluster3,0.999999999997469
Atropos,Cluster0,0.999999999999937
Atropos,Cluster1,0.999999999955727
Atropos,Cluster2,0.727301340053157
Atropos,Cluster3,0.989529167536909
ElBicho,Cluster0,0.999999999999937
ElBicho,Cluster1,0.0409153358903758
ElBicho,Cluster2,0.707199528768344
ElBicho,Cluster3,0.952512350196982
LinearBinning,Cluster0,0.999999999999934
LinearBinning,Cluster1,0.570945573288172
LinearBinning,Cluster2,0.786946681926399
LinearBinning,Cluster3,0.96452547676047
KMeans,Cluster0,0.999999999999934
KMeans,Cluster1,0.0915107472126557
KMeans,Cluster2,0.0832316746252648
KMeans,Cluster3,0.999999999998847
Atropos,Cluster0,0.999999999999934
Atropos,Cluster1,0.999999999965197
Atropos,Cluster2,0.578877587090835
Atropos,Cluster3,0.997374348809454
ElBicho,Cluster0,0.999999999999934
ElBicho,Cluster1,0.2414570687678
ElBicho,Cluster2,0.890843296278831
ElBicho,Cluster3,0.854848504853465
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.466400449833164
LinearBinning,Cluster2,0.668657481893381
LinearBinning,Cluster3,0.994147848196797
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.110586932996869
KMeans,Cluster2,0.112727405473058
KMeans,Cluster3,0.999999999998604
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.999999999965321
Atropos,Cluster2,0.550437807122898
Atropos,Cluster3,0.988566002542832
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.177296588381828
ElBicho,Cluster2,0.756218469075683
ElBicho,Cluster3,0.917306149672927
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.903122687701722
LinearBinning,Cluster2,0.799991539563856
LinearBinning,Cluster3,0.989800955700396
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.210460595889233
KMeans,Cluster2,0.118784547442385
KMeans,Cluster3,0.99999999999849
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.984287966493238
Atropos,Cluster2,0.763616775494277
Atropos,Cluster3,0.99307544191484
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.477476274091447
ElBicho,Cluster2,0.81708516278231
ElBicho,Cluster3,0.905482291683307
LinearBinning,Cluster0,0.999999999999937
LinearBinning,Cluster1,0.782836546571734
LinearBinning,Cluster2,0.873860349398846
LinearBinning,Cluster3,0.94428588026495
KMeans,Cluster0,0.999999999999937
KMeans,Cluster1,0.113033072105042
KMeans,Cluster2,0.116154041746911
KMeans,Cluster3,0.999999999998037
Atropos,Cluster0,0.999999999999937
Atropos,Cluster1,0.989517852788389
Atropos,Cluster2,0.598331823693096
Atropos,Cluster3,0.999124327351682
ElBicho,Cluster0,0.999999999999937
ElBicho,Cluster1,0.259313783691722
ElBicho,Cluster2,0.807336175821545
ElBicho,Cluster3,0.908294288052753
LinearBinning,Cluster0,0.999999999999934
LinearBinning,Cluster1,0.704982919040761
LinearBinning,Cluster2,0.740079988822053
LinearBinning,Cluster3,0.988187468878538
KMeans,Cluster0,0.999999999999934
KMeans,Cluster1,0.0646382840510341
KMeans,Cluster2,0.00016824661143752
KMeans,Cluster3,0.999999999998966
Atropos,Cluster0,0.999999999999934
Atropos,Cluster1,0.999346532836211
Atropos,Cluster2,0.625369960185322
Atropos,Cluster3,0.990867148402683
ElBicho,Cluster0,0.999999999999934
ElBicho,Cluster1,0.431464348061862
ElBicho,Cluster2,0.906150139732716
ElBicho,Cluster3,0.855540916051883
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.0200262045383146
LinearBinning,Cluster2,0.336215847178261
LinearBinning,Cluster3,0.999999999996641
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0
KMeans,Cluster2,0.0109940336389573
KMeans,Cluster3,0.999999999998766
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.999999999946967
Atropos,Cluster2,0.677926186555836
Atropos,Cluster3,0.952564919189422
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.00363429468001079
ElBicho,Cluster2,0.435123544069968
ElBicho,Cluster3,0.943489096889313
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.780321763684729
LinearBinning,Cluster2,0.800071674376745
LinearBinning,Cluster3,0.980398812944032
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.135504482072496
KMeans,Cluster2,0.0948794937425668
KMeans,Cluster3,0.999999999998723
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.997555028334776
Atropos,Cluster2,0.662089748075969
Atropos,Cluster3,0.996134467687984
ElBicho,Cluster0,0.999999999999935
ElBicho,Cluster1,0.320298360148219
ElBicho,Cluster2,0.87563128796535
ElBicho,Cluster3,0.902578276829851
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.909545394502421
LinearBinning,Cluster2,0.724981445830123
LinearBinning,Cluster3,0.975722343454355
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.273481676173143
KMeans,Cluster2,0.193658181000515
KMeans,Cluster3,0.999999999998644
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.955496920111327
Atropos,Cluster2,0.683950047680368
Atropos,Cluster3,0.977859535000413
ElBicho,Cluster0,0.999997145097596
ElBicho,Cluster1,0.657717387128514
ElBicho,Cluster2,0.869166288625236
ElBicho,Cluster3,0.882257083743022
LinearBinning,Cluster0,0.999999999999936
LinearBinning,Cluster1,0.303555253794955
LinearBinning,Cluster2,0.603489448295369
LinearBinning,Cluster3,0.999985327136209
KMeans,Cluster0,0.999999999999936
KMeans,Cluster1,0.0479041942561532
KMeans,Cluster2,0.087731512507287
KMeans,Cluster3,0.9999999999987
Atropos,Cluster0,0.999999999999936
Atropos,Cluster1,0.999999999972545
Atropos,Cluster2,0.655198272805112
Atropos,Cluster3,0.958456174596594
ElBicho,Cluster0,0.999999999999936
ElBicho,Cluster1,0.121961897923496
ElBicho,Cluster2,0.770078870366855
ElBicho,Cluster3,0.909312825054645
LinearBinning,Cluster0,0.999999999999935
LinearBinning,Cluster1,0.272754510440931
LinearBinning,Cluster2,0.60379517552009
LinearBinning,Cluster3,0.994934114475262
KMeans,Cluster0,0.999999999999935
KMeans,Cluster1,0.0443065816743072
KMeans,Cluster2,0.0992484379112099
KMeans,Cluster3,0.99999999999901
Atropos,Cluster0,0.999999999999935
Atropos,Cluster1,0.999999999972491
Atropos,Cluster2,0.495936110911714
