"","Subject","Simulation","Artefact","PSNR"
"314","2103_XeVent_Noise_1.nii.gz",5,"Nonlinearities",27.487985145053
"315","2103_XeVent_Noise_1.nii.gz",5,"NoiseAndNonlinearities",16.115658664336
"316","2103_XeVent_Noise_1.nii.gz",6,"Noise",26.3774561343332
"317","2103_XeVent_Noise_1.nii.gz",6,"Nonlinearities",22.9104920180961
"318","2103_XeVent_Noise_1.nii.gz",6,"NoiseAndNonlinearities",17.2966522431399
"319","2103_XeVent_Noise_1.nii.gz",7,"Noise",17.7673756502804
"320","2103_XeVent_Noise_1.nii.gz",7,"Nonlinearities",28.4601463711543
"321","2103_XeVent_Noise_1.nii.gz",7,"NoiseAndNonlinearities",16.7012738577459
"322","2103_XeVent_Noise_1.nii.gz",8,"Noise",14.9728518646368
"323","2103_XeVent_Noise_1.nii.gz",8,"Nonlinearities",26.9425136591671
"324","2103_XeVent_Noise_1.nii.gz",8,"NoiseAndNonlinearities",16.7038443703118
"325","2103_XeVent_Noise_1.nii.gz",9,"Noise",19.1180551453547
"326","2103_XeVent_Noise_1.nii.gz",9,"Nonlinearities",31.8750867993733
"327","2103_XeVent_Noise_1.nii.gz",9,"NoiseAndNonlinearities",17.9892565740956
"328","2103_XeVent_Noise_1.nii.gz",10,"Noise",20.3316096626725
"329","2103_XeVent_Noise_1.nii.gz",10,"Nonlinearities",18.5288461966403
"330","2103_XeVent_Noise_1.nii.gz",10,"NoiseAndNonlinearities",18.7299711947112
